cty,name,kfr_imm_rA_gP_pall,kfr_imm_rA_gP_pall_l,kfr_imm_rA_gP_p100,kfr_imm_rA_gP_p100_l,kfr_imm_rA_gP_p75,kfr_imm_rA_gP_p75_l,kfr_imm_rA_gP_p25,kfr_imm_rA_gP_p25_l,kfr_imm_rA_gP_p1,kfr_imm_rA_gP_p1_l,kfr_imm_rA_gP_p50,kfr_imm_rA_gP_p50_l,kfr_imm_rA_gF_pall,kfr_imm_rA_gF_pall_l,kfr_imm_rA_gF_p100,kfr_imm_rA_gF_p100_l,kfr_imm_rA_gF_p75,kfr_imm_rA_gF_p75_l,kfr_imm_rA_gF_p25,kfr_imm_rA_gF_p25_l,kfr_imm_rA_gF_p1,kfr_imm_rA_gF_p1_l,kfr_imm_rA_gF_p50,kfr_imm_rA_gF_p50_l,kfr_imm_rA_gM_pall,kfr_imm_rA_gM_pall_l,kfr_imm_rA_gM_p100,kfr_imm_rA_gM_p100_l,kfr_imm_rA_gM_p75,kfr_imm_rA_gM_p75_l,kfr_imm_rA_gM_p25,kfr_imm_rA_gM_p25_l,kfr_imm_rA_gM_p1,kfr_imm_rA_gM_p1_l,kfr_imm_rA_gM_p50,kfr_imm_rA_gM_p50_l,kfr_imm_rP_gP_pall,kfr_imm_rP_gP_pall_l,kfr_imm_rP_gP_p100,kfr_imm_rP_gP_p100_l,kfr_imm_rP_gP_p75,kfr_imm_rP_gP_p75_l,kfr_imm_rP_gP_p25,kfr_imm_rP_gP_p25_l,kfr_imm_rP_gP_p1,kfr_imm_rP_gP_p1_l,kfr_imm_rP_gP_p50,kfr_imm_rP_gP_p50_l,kfr_imm_rP_gF_pall,kfr_imm_rP_gF_pall_l,kfr_imm_rP_gF_p100,kfr_imm_rP_gF_p100_l,kfr_imm_rP_gF_p75,kfr_imm_rP_gF_p75_l,kfr_imm_rP_gF_p25,kfr_imm_rP_gF_p25_l,kfr_imm_rP_gF_p1,kfr_imm_rP_gF_p1_l,kfr_imm_rP_gF_p50,kfr_imm_rP_gF_p50_l,kfr_imm_rP_gM_pall,kfr_imm_rP_gM_pall_l,kfr_imm_rP_gM_p100,kfr_imm_rP_gM_p100_l,kfr_imm_rP_gM_p75,kfr_imm_rP_gM_p75_l,kfr_imm_rP_gM_p25,kfr_imm_rP_gM_p25_l,kfr_imm_rP_gM_p1,kfr_imm_rP_gM_p1_l,kfr_imm_rP_gM_p50,kfr_imm_rP_gM_p50_l,kfr_imm_rB_gP_pall,kfr_imm_rB_gP_pall_l,kfr_imm_rB_gP_p100,kfr_imm_rB_gP_p100_l,kfr_imm_rB_gP_p75,kfr_imm_rB_gP_p75_l,kfr_imm_rB_gP_p25,kfr_imm_rB_gP_p25_l,kfr_imm_rB_gP_p1,kfr_imm_rB_gP_p1_l,kfr_imm_rB_gP_p50,kfr_imm_rB_gP_p50_l,kfr_imm_rB_gF_pall,kfr_imm_rB_gF_pall_l,kfr_imm_rB_gF_p100,kfr_imm_rB_gF_p100_l,kfr_imm_rB_gF_p75,kfr_imm_rB_gF_p75_l,kfr_imm_rB_gF_p25,kfr_imm_rB_gF_p25_l,kfr_imm_rB_gF_p1,kfr_imm_rB_gF_p1_l,kfr_imm_rB_gF_p50,kfr_imm_rB_gF_p50_l,kfr_imm_rB_gM_pall,kfr_imm_rB_gM_pall_l,kfr_imm_rB_gM_p100,kfr_imm_rB_gM_p100_l,kfr_imm_rB_gM_p75,kfr_imm_rB_gM_p75_l,kfr_imm_rB_gM_p25,kfr_imm_rB_gM_p25_l,kfr_imm_rB_gM_p1,kfr_imm_rB_gM_p1_l,kfr_imm_rB_gM_p50,kfr_imm_rB_gM_p50_l,kfr_imm_rW_gP_pall,kfr_imm_rW_gP_pall_l,kfr_imm_rW_gP_p100,kfr_imm_rW_gP_p100_l,kfr_imm_rW_gP_p75,kfr_imm_rW_gP_p75_l,kfr_imm_rW_gP_p25,kfr_imm_rW_gP_p25_l,kfr_imm_rW_gP_p1,kfr_imm_rW_gP_p1_l,kfr_imm_rW_gP_p50,kfr_imm_rW_gP_p50_l,kfr_imm_rW_gF_pall,kfr_imm_rW_gF_pall_l,kfr_imm_rW_gF_p100,kfr_imm_rW_gF_p100_l,kfr_imm_rW_gF_p75,kfr_imm_rW_gF_p75_l,kfr_imm_rW_gF_p25,kfr_imm_rW_gF_p25_l,kfr_imm_rW_gF_p1,kfr_imm_rW_gF_p1_l,kfr_imm_rW_gF_p50,kfr_imm_rW_gF_p50_l,kfr_imm_rW_gM_pall,kfr_imm_rW_gM_pall_l,kfr_imm_rW_gM_p100,kfr_imm_rW_gM_p100_l,kfr_imm_rW_gM_p75,kfr_imm_rW_gM_p75_l,kfr_imm_rW_gM_p25,kfr_imm_rW_gM_p25_l,kfr_imm_rW_gM_p1,kfr_imm_rW_gM_p1_l,kfr_imm_rW_gM_p50,kfr_imm_rW_gM_p50_l,kfr_imm_rH_gP_pall,kfr_imm_rH_gP_pall_l,kfr_imm_rH_gP_p100,kfr_imm_rH_gP_p100_l,kfr_imm_rH_gP_p75,kfr_imm_rH_gP_p75_l,kfr_imm_rH_gP_p25,kfr_imm_rH_gP_p25_l,kfr_imm_rH_gP_p1,kfr_imm_rH_gP_p1_l,kfr_imm_rH_gP_p50,kfr_imm_rH_gP_p50_l,kfr_imm_rH_gF_pall,kfr_imm_rH_gF_pall_l,kfr_imm_rH_gF_p100,kfr_imm_rH_gF_p100_l,kfr_imm_rH_gF_p75,kfr_imm_rH_gF_p75_l,kfr_imm_rH_gF_p25,kfr_imm_rH_gF_p25_l,kfr_imm_rH_gF_p1,kfr_imm_rH_gF_p1_l,kfr_imm_rH_gF_p50,kfr_imm_rH_gF_p50_l,kfr_imm_rH_gM_pall,kfr_imm_rH_gM_pall_l,kfr_imm_rH_gM_p100,kfr_imm_rH_gM_p100_l,kfr_imm_rH_gM_p75,kfr_imm_rH_gM_p75_l,kfr_imm_rH_gM_p25,kfr_imm_rH_gM_p25_l,kfr_imm_rH_gM_p1,kfr_imm_rH_gM_p1_l,kfr_imm_rH_gM_p50,kfr_imm_rH_gM_p50_l,kfr_imm_rNA_gP_pall,kfr_imm_rNA_gP_pall_l,kfr_imm_rNA_gP_p100,kfr_imm_rNA_gP_p100_l,kfr_imm_rNA_gP_p75,kfr_imm_rNA_gP_p75_l,kfr_imm_rNA_gP_p25,kfr_imm_rNA_gP_p25_l,kfr_imm_rNA_gP_p1,kfr_imm_rNA_gP_p1_l,kfr_imm_rNA_gP_p50,kfr_imm_rNA_gP_p50_l,kfr_imm_rNA_gF_pall,kfr_imm_rNA_gF_pall_l,kfr_imm_rNA_gF_p100,kfr_imm_rNA_gF_p100_l,kfr_imm_rNA_gF_p75,kfr_imm_rNA_gF_p75_l,kfr_imm_rNA_gF_p25,kfr_imm_rNA_gF_p25_l,kfr_imm_rNA_gF_p1,kfr_imm_rNA_gF_p1_l,kfr_imm_rNA_gF_p50,kfr_imm_rNA_gF_p50_l,kfr_imm_rNA_gM_pall,kfr_imm_rNA_gM_pall_l,kfr_imm_rNA_gM_p100,kfr_imm_rNA_gM_p100_l,kfr_imm_rNA_gM_p75,kfr_imm_rNA_gM_p75_l,kfr_imm_rNA_gM_p25,kfr_imm_rNA_gM_p25_l,kfr_imm_rNA_gM_p1,kfr_imm_rNA_gM_p1_l,kfr_imm_rNA_gM_p50,kfr_imm_rNA_gM_p50_l
cty46035,"Davison County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty35055,"Taos County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34571,,43713,,37812,,32006,,28813,,34760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38071,"Ramsey County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46071,"Jackson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46137,"Ziebach County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty35053,"Socorro County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39377,47955,131991,23861,55748,38165,21846,56876,8834,70666,36145,47114,43896,,90390,,53244,,28600,,20456,,38827,,,53518,,32288,,45174,,60224,,71119,,52097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty31157,"Scotts Bluff County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39060,55467,41043,85534,39974,66717,38978,50632,38542,43022,39446,57910,41255,51667,123058,57236,66309,54124,34905,50548,25693,48674,47311,52156,37663,59125,18470,189658,30688,84950,42361,51601,49009,37439,36484,66869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39253,62348,4029,156421,25583,90151,42440,61201,56457,39665,33665,76179,,,,,,,,,,,,,39631,61195,2577,1062314,26279,94970,43478,56880,58952,29714,34166,78469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46129,"Walworth County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty27029,"Clearwater County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46031,"Corson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46007,"Bennett County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty02070,"Dillingham Census Area, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty05113,"Polk County, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48297,51860,53970,62668,49738,56517,45989,50589,44410,47443,47723,53373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty49013,"Duchesne County, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67448,,39014,,55566,,79096,,96523,,66933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty27119,"Polk County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37902,48093,110448,79567,60836,60122,33238,44025,23461,36420,44729,51243,40181,45431,28789,84517,34649,61048,41062,40066,43674,30878,38072,48756,36600,49305,1062314,77353,84159,58641,17315,44731,0,37724,42850,51391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37689,54188,65067,78668,47957,62105,35532,47818,30922,40956,40895,54293,,,,,,,,,,,,,,53052,,57015,,55810,,54562,,53862,,55164,,36373,,51386,,43773,,37211,,30850,,40805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30035,"Glacier County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38101,"Ward County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55879,46080,106901,60682,65589,49546,40503,39652,31895,34580,51039,44220,57612,41887,148581,67978,74961,50165,40907,33673,31439,25794,54323,40718,54743,50622,98986,55692,60215,51439,37691,47728,28688,45612,47592,49590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58063,56118,138894,115395,70612,69117,39736,39899,30210,27458,51947,52313,58515,51401,106242,82866,67798,60048,43680,41856,35410,33389,53897,49935,57752,61586,133864,132319,69470,73957,38991,41719,26892,28423,52473,55332,,42648,,22205,,37071,,54471,,79452,,44129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46123,"Tripp County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty02158,"Kusilvak Census Area, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46065,"Hughes County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty28079,"Leake County, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30073,"Pondera County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty35035,"Otero County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38589,39696,83498,54488,53572,45484,33819,37215,26400,32857,42362,41072,44157,39611,61616,54330,50763,45742,41363,36710,38118,32175,45469,40691,33343,39642,108303,54377,55825,44947,29058,37288,17815,33042,40787,41071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31107,40080,65681,74005,42439,49076,26321,30126,20061,20519,33340,38661,31661,44128,35239,55859,32672,46874,30291,38639,29252,34320,31406,42475,30650,36521,99467,96445,50508,51471,23311,22609,10521,7691,35940,35385,40399,38168,88994,41141,56034,39369,38416,37693,28673,35972,46583,38626,43686,36194,60543,36775,50426,36045,43244,35334,39104,34638,46621,35694,37226,40011,181828,46557,65176,42804,36032,39491,20276,35938,49451,41537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty31107,"Knox County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty56025,"Natrona County, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62041,52266,109040,77234,72662,57793,49346,41857,41258,34266,59378,49005,66611,47168,138491,59626,75720,50775,43520,41537,34495,36997,56369,45583,56602,58271,74242,112516,62999,66262,54254,39829,50318,27807,58368,51850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67594,45860,100845,37322,72554,43231,53169,50176,46566,54560,61378,46724,67673,44197,125401,29154,72964,38772,44719,50548,35361,58522,56557,44580,,47107,,59279,,51216,,43730,,39831,,47220,,48829,,1062314,,96821,,34540,,0,,62775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty40011,"Blaine County, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38005,"Benson County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38059,"Morton County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55850,,118391,,78071,,51262,,39736,,63053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46103,"Pennington County, SD",,25364,,6247,,21636,,28983,,37872,,25482,,,,,,,,,,,,,,,,,,,,,,,,,36991,44980,61659,64831,42585,51035,28475,39199,22655,33244,34847,44615,42529,49022,75086,83951,51883,60456,34430,39504,28665,30296,41821,48184,32457,41022,58184,49860,38125,43661,23942,38388,17184,35397,30665,41016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37791,50006,59841,67084,43231,54383,30968,43257,26273,37699,36322,48360,39585,51088,58550,87398,44762,59048,34039,37811,29691,27999,38891,47117,36734,49061,62407,41041,41714,46291,26823,52421,19340,56241,34030,49387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30005,"Blaine County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30085,"Roosevelt County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46109,"Roberts County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty29119,"McDonald County, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38550,,97832,,60730,,35169,,23531,,46177,,39137,,87485,,60392,,37177,,27027,,46700,,38194,,90413,,55049,,33005,,21956,,43263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45501,,1062314,,1062314,,48989,,0,,138109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38085,"Sioux County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty45033,"Dillon County, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty02050,"Bethel Census Area, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty56013,"Fremont County, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52878,,103049,,69976,,45807,,35258,,56370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty40015,"Caddo County, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35998,47867,122547,105822,59892,68481,28984,42489,17802,31257,41783,53702,,44709,,141399,,77139,,40286,,26087,,54684,,51459,,82111,,63308,,49072,,41927,,55904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56345,,73417,,63408,,54024,,49230,,58389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty27021,"Cass County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48222,,96884,,56866,,30208,,17525,,41747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50291,,115036,,64668,,34169,,20671,,47029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
