"cz","Name","Household_Income_for_U.S._Natives_rP_gP_pall"
"cz22300","Ottumwa, IA",51856
"cz38502","Wenatchee, WA",51832
"cz37903","Mammoth Lakes, CA",51818
"cz36503","Lakeview, OR",51818
"cz28501","Springfield, CO",51817
"cz14700","Evansville, IL & IN",51796
"cz29003","Dodge City, KS",51747
"cz31006","Guymon, KS & OK & TX",51742
"cz27702","Cheyenne, NE & WY",51651
"cz30501","Woodward, OK",51650
"cz35902","Price, UT",51627
"cz34403","Helena, MT",51516
"cz24100","Milwaukee, WI",51472
"cz19200","Harrisburg, PA",51438
"cz27012","Gettysburg, SD",51430
"cz34303","Riverton, WY",51398
"cz21502","Pine City, MN",51368
"cz37700","Santa Rosa, CA",51355
"cz30502","Enid, OK",51349
"cz28702","Glenwood Springs, CO",51338
"cz29402","Emporia, KS",51267
"cz30905","Wellington, TX",51223
"cz23600","Burlington, IA & IL & MO",51160
"cz28900","Denver, CO",51150
"cz18202","St. Marys, PA",51138
"cz35702","Burley, ID",51104
"cz21600","Brainerd, MN",51102
"cz31900","Pearland, TX",51072
"cz21102","Amery, WI",51069
"cz23900","Peoria, IL",50924
"cz20800","Springfield, MA",50922
"cz34304","Sheridan, MT & WY",50915
"cz31304","Mason, TX",50903
"cz32503","Haskell, TX",50890
"cz34404","Butte-Silver Bow, MT",50801
"cz23302","Douglas, IL",50770
"cz34308","Billings, MT",50749
"cz33801","Elk City, OK",50729
"cz32401","Big Spring, TX",50687
"cz21002","Houghton, MI",50583
"cz25500","Centralia, IL",50550
"cz29004","Great Bend, KS",50522
"cz18800","Scranton, PA",50520
"cz26701","Bemidji, MN",50504
"cz18000","Buffalo, NY",50492
"cz37601","Elko, NV",50437
"cz31101","Victoria, TX",50423
"cz18700","Sunbury, PA",50357
"cz36301","Pocatello, ID",50344
"cz26301","Devils Lake, ND",50304
"cz26406","Wolf Point, MT",50294
"cz27601","Rapid City, SD",50274
"cz36303","Jackson, ID & WY",50221
"cz26106","Centerville, IA",50214
"cz39400","Seattle, WA",50191
"cz24000","Kenosha, WI",50177
"cz34701","Honolulu, HI",50172
"cz3400","Houma, LA",50140
"cz34402","Bozeman, MT",50119
"cz28303","Oshkosh, NE",50113
"cz31007","Dumas, TX",50085
"cz20200","Burlington, VT",50019
"cz21101","Rice Lake, WI",49991
"cz32702","Stephenville, TX",49981
"cz21003","Ironwood, MI & WI",49939
"cz29104","Salina, KS",49910
"cz11402","Marinette, MI & WI",49886
"cz24802","Springfield, IL",49765
"cz28602","Norton, KS",49764
"cz34202","Shelby, MT",49756
"cz37602","Winnemucca, NV",49735
"cz29002","Coldwater, KS",49703
"cz17700","Syracuse, NY",49702
"cz16200","Altoona, PA",49699
"cz34401","Dillon, MT",49679
"cz21004","Rhinelander, WI",49660
"cz27009","Chamberlain, SD",49603
"cz26303","Turtle Mountain UT, ND",49564
"cz11301","Fredericksburg, VA",49546
"cz23500","Decatur, IL",49506
"cz21001","Ashland, WI",49466
"cz31001","Garden City, KS",49419
"cz29203","Manhattan, KS",49367
"cz13502","Defiance, OH",49321
"cz39100","Kennewick, OR & WA",49305
"cz34602","Rawlins, WY",49248
"cz22602","Shawano, WI",49224
"cz29204","Topeka, KS",49211
"cz16100","State College, PA",49136
"cz18900","Williamsport, PA",49070
"cz15600","Wheeling, OH & WV",49064
"cz38200","Santa Barbara, CA",49058
"cz24400","Rockford, IL",49050
"cz26004","International Falls, MN",49023
"cz29506","Bethany, MO",49009
"cz11700","Lansing, MI",48930
"cz34203","Great Falls, MT",48901
"cz27502","Creston, IA",48884
"cz24900","Edwardsville, IL",48869
"cz31303","Kerrville, TX",48857
"cz29501","Leavenworth, KS",48852
"cz38501","Moses Lake, WA",48848
"cz17502","Winchester, VA & WV",48833
"cz11302","Baltimore, MD",48816
"cz35901","St. George, UT",48809
"cz12800","Washington, IN",48804
"cz11401","Marquette, MI",48796
"cz24200","Bourbonnais, IL",48728
"cz38000","San Diego, CA",48691
"cz29005","Hutchinson, KS",48607
"cz14801","Olney, IL",48519
"cz29502","Kansas City, KS & MO",48442
"cz20302","Claremont, NH & VT",48415
"cz24801","Jacksonville, IL",48351
"cz39205","John Day, OR",48348
"cz17900","Union, NY & PA",48294
"cz20700","Keene, NH & VT",48244
"cz32602","Graham, TX",48219
"cz24701","St. Louis, IL & MO",48208
"cz35202","Gunnison, CO",48198
"cz31201","Austin, TX",48187
"cz32000","Houston, TX",48148
"cz14100","Fort Wayne, IN",48089
"cz29601","Columbia, MO",48046
"cz31403","Fort Stockton, TX",47997
"cz19800","Wilmington, DE & MD",47965
"cz13300","Findlay, OH",47930
"cz26103","Brookfield, MO",47909
"cz12701","Cincinnati, KY & OH",47899
"cz28701","Salida, CO",47864
"cz39202","Enterprise, OR",47862
"cz3201","Jena, LA",47834
"cz30401","Stillwater, OK",47824
"cz23700","Galesburg, IL",47811
"cz13200","Owensboro, KY",47686
"cz13501","Toledo, MI & OH",47657
"cz23301","Charleston, IL",47606
"cz39301","Friday Harbor, WA",47578
"cz12200","Grand Rapids, MI",47538
"cz27704","Gordon, NE & SD",47530
"cz14802","Vincennes, IL & IN",47523
"cz13800","Wayne, IN",47509
"cz16500","Erie, NY & PA",47502
"cz28402","Limon, CO",47446
"cz38801","Portland, OR & WA",47422
"cz14500","Lafayette, IL & IN",47419
"cz20902","Pittsfield, MA & VT",47324
"cz30902","Littlefield, TX",47228
"cz33100","Dallas, TX",47225
"cz39302","Bellingham, WA",47161
"cz25000","Quincy, IL & MO",47140
"cz33000","Fort Worth, TX",47137
"cz39201","La Grande, OR",47132
"cz34504","Missoula, MT",47116
"cz14900","Gary, IN",47106
"cz30906","Memphis, TX",47106
"cz35701","Twin Falls, ID",47093
"cz35201","Grand Junction, CO",47059
"cz18201","Olean, NY & PA",47045
"cz16702","Morgantown, WV",46988
"cz18100","Elmira, NY & PA",46975
"cz15200","Cleveland, OH",46962
"cz17400","Hagerstown, MD & PA & WV",46863
"cz31404","Alpine, TX",46848
"cz18400","Plattsburgh, NY",46822
"cz17800","Oneonta, NY",46807
"cz39000","Yakima, WA",46796
"cz38401","Lewiston, ID & WA",46791
"cz38601","Spokane, ID & WA",46743
"cz4004","Many, LA",46677
"cz15000","Canton, OH",46596
"cz11900","Saginaw, MI",46587
"cz38802","The Dalles, OR & WA",46575
"cz37604","Reno, NV",46560
"cz34204","Lewistown, MT",46550
"cz31800","College Station, TX",46527
"cz36302","Salmon, ID",46521
"cz34804","Clayton, NM",46435
"cz30903","Amarillo, TX",46430
"cz17200","Harrisonburg, VA & WV",46414
"cz37400","Sacramento, CA & NV",46401
"cz13700","Concord, IN & MI",46365
"cz30801","Hobbs, NM & TX",46351
"cz16400","Youngstown, OH & PA",46294
"cz29401","Ottawa, KS",46274
"cz29301","Wichita, KS",46262
"cz19902","Easton, MD",46239
"cz31302","Beeville, TX",46173
"cz37100","Bakersfield, CA",46150
"cz28401","Colorado Springs, CO",46116
"cz34702","Kapaa, HI",46042
"cz1701","Raleigh, NC",46018
"cz12100","Kalamazoo, MI",45943
"cz38300","Los Angeles, AZ & CA",45931
"cz18300","Watertown, NY",45906
"cz32604","Vernon, TX",45898
"cz25601","Carbondale, IL",45871
"cz32601","Wichita Falls, TX",45850
"cz35801","Boise City, ID",45777
"cz2300","Lynchburg, VA",45730
"cz32305","Del Rio, TX",45722
"cz15500","Steubenville, OH & WV",45702
"cz20100","Portland, ME",45660
"cz11600","Detroit, MI",45645
"cz13101","Louisville, IN & KY",45619
"cz3800","Lafayette, LA",45617
"cz16703","Buckhannon, WV",45600
"cz13600","South Bend, IN & MI",45578
"cz2400","Richmond, VA",45572
"cz29403","Bartlesville, KS & OK",45564
"cz20301","Berlin, NH & VT",45552
"cz38602","Colville, WA",45515
"cz35903","Moab, UT",45502
"cz26102","Marshall, MO",45463
"cz35300","Farmington, CO & NM",45445
"cz26003","West Cook UT, MN",45430
"cz38901","Eugene, OR",45358
"cz35001","Phoenix, AZ",45357
"cz34503","Kalispell, MT",45352
"cz35002","Safford, AZ",45309
"cz11800","Mount Pleasant, MI",45294
"cz3700","Lake Charles, LA",45281
"cz13900","Center, IN",45266
"cz34502","Libby, MT",45258
"cz14200","Indianapolis, IN",45221
"cz11500","Jackson, MI",45178
"cz15900","Columbus, OH",45158
"cz29503","St. Joseph, KS & MO",45141
"cz18500","Amsterdam, NY",45136
"cz34201","Havre, MT",45115
"cz14400","Terre Haute, IN",45114
"cz15300","Parkersburg, OH & WV",45111
"cz30402","Tulsa, OK",45099
"cz25602","Harrisburg, IL",45078
"cz12401","Alpena, MI",45073
"cz33802","Chickasha, OK",45063
"cz15100","Lorain, OH",45048
"cz29303","Winfield, KS",45030
"cz32100","Beaumont, TX",45011
"cz25401","Paducah, IL & KY",44992
"cz30701","Roswell, NM",44901
"cz36501","Klamath Falls, CA & OR",44881
"cz32301","San Angelo, TX",44869
"cz13103","Bardstown, KY",44854
"cz3500","Baton Rouge, LA",44847
"cz26105","Polk, MO",44823
"cz24702","Mexico, MO",44718
"cz37300","Chico, CA",44710
"cz16600","Roanoke, VA & WV",44682
"cz17501","Cumberland, MD & WV",44624
"cz33803","Oklahoma City, OK",44603
"cz39203","Bend, OR",44590
"cz12501","Dayton, OH",44567
"cz12301","Traverse City, MI",44564
"cz34703","Kahului, HI",44564
"cz26107","Kirksville, MO",44541
"cz20003","Presque Isle, ME",44535
"cz31202","Burnet, TX",44528
"cz32501","Abilene, TX",44502
"cz14300","Columbus, IN",44374
"cz30300","Fayetteville, AR & MO & OK",44357
"cz14600","Bloomington, IN",44352
"cz34805","Alamosa, CO",44340
"cz32402","Sweetwater, TX",44337
"cz35401","Flagstaff, AZ & UT",44260
"cz33700","Ardmore, OK",44255
"cz37000","Modesto, CA",44253
"cz12002","Ludington, MI",44248
"cz16000","Mansfield, OH",44173
"cz31103","Gonzales, TX",44133
"cz32302","Brady, TX",44088
"cz33400","Longview, TX",44065
"cz9100","Atlanta, GA",44057
"cz17600","Charlottesville, VA",43970
"cz5600","Nashville, TN",43873
"cz33602","Altus, OK",43870
"cz39303","Port Angeles, WA",43842
"cz30802","Lubbock, TX",43819
"cz35402","Cortez, CO & UT",43805
"cz13102","Madison, IN & KY",43804
"cz25200","Henderson, KY",43789
"cz32304","Uvalde, TX",43761
"cz35802","Ontario, ID & OR",43735
"cz34501","Bonners Ferry, ID",43719
"cz25402","Murray, KY",43666
"cz33902","Sherman, OK & TX",43620
"cz11303","Colonial Beach, VA",43618
"cz33601","Lawton, OK",43526
"cz32701","Brownwood, TX",43520
"cz31700","Corpus Christi, TX",43469
"cz2500","Newport News, VA",43460
"cz16901","Charleston, WV",43423
"cz4003","Ruston, LA",43403
"cz12001","Big Rapids, MI",43401
"cz34802","Santa Fe, NM",43376
"cz34803","Tucumcari, NM",43325
"cz34307","Colstrip, MT",43301
"cz33300","Tyler, TX",43292
"cz32801","Waco, TX",43258
"cz38700","Longview, OR & WA",43250
"cz27604","Murdo, SD",43246
"cz401","Winston-Salem, NC",43221
"cz32802","Corsicana, TX",43211
"cz36600","Redding, CA",43162
"cz11201","Bluefield, VA & WV",43135
"cz16902","Spencer, WV",43072
"cz31301","San Antonio, TX",43021
"cz12302","Petoskey, MI",43004
"cz36700","Eureka, CA",42987
"cz29901","Joplin, KS & MO & OK",42981
"cz15400","Zanesville, OH",42977
"cz26104","Trenton, MO",42926
"cz33200","Paris, TX",42923
"cz5401","Bowling Green, KY",42886
"cz29504","Sedalia, MO",42883
"cz25701","Cape Girardeau, MO",42861
"cz26101","Moberly, MO",42853
"cz7100","Port St. Lucie, FL",42809
"cz24600","Farmington, MO",42774
"cz12402","Grayling charter, MI",42773
"cz10700","Birmingham, AL",42712
"cz34109","Juneau, AK",42625
"cz32202","Nacogdoches, TX",42598
"cz17300","Staunton, VA",42576
"cz11403","Sault Ste. Marie, MI",42566
"cz6000","Huntsville, AL & TN",42560
"cz35803","McCall, ID",42537
"cz32502","Childress, TX",42498
"cz7200","Cape Coral, FL",42436
"cz900","Charlotte, NC & SC",42377
"cz33603","Frederick, OK",42345
"cz9400","Gainesville, GA",42291
"cz1203","Asheville, NC",42266
"cz32201","Huntsville, TX",42207
"cz5700","Tullahoma, TN",42143
"cz12901","Lexington-Fayette, KY",42129
"cz37200","Fresno, CA",42098
"cz19901","Dover, DE & MD",42073
"cz6200","Florence, AL & TN",42067
"cz16801","Beckley, WV",42037
"cz20001","Bangor, ME",41986
"cz5500","Columbia, TN",41984
"cz6900","Sarasota, FL",41971
"cz30901","Clovis, NM & TX",41964
"cz3300","New Orleans, LA",41938
"cz35600","Hilo, HI",41887
"cz38100","Yuma, AZ & CA",41882
"cz28503","Trinidad, CO",41863
"cz34102","Anchorage, AK",41833
"cz35100","Tucson, AZ",41723
"cz36902","Roseburg, OR",41692
"cz36502","Burns, OR",41671
"cz32900","Killeen, TX",41608
"cz30601","El Paso, NM & TX",41592
"cz36800","Medford, OR",41586
"cz4302","Searcy, AR",41583
"cz1202","Sylva, NC",41528
"cz16802","Summersville, WV",41492
"cz16701","Elkins, WV",41470
"cz13000","Elizabethtown, KY",41453
"cz33901","Ada, OK",41446
"cz24500","Rolla, MO",41396
"cz29902","Center, MO",41369
"cz14000","Muncie, IN",41364
"cz7400","Orlando, FL",41336
"cz17100","Huntington, KY & OH & WV",41334
"cz12600","Wayne, IN",41327
"cz1100","Hickory, NC",41318
"cz34306","Jordan, MT",41314
"cz3102","Brookhaven, MS",41298
"cz29700","Springfield, MO",41290
"cz30908","Plainview, TX",41285
"cz8300","Greenville, SC",41271
"cz302","Knoxville, TN",41246
"cz28502","Pueblo, CO",41231
"cz29602","Eldon, MO",41189
"cz7000","Miami, FL",41150
"cz25300","Union City, KY & TN",41109
"cz500","Greensboro, NC & VA",41100
"cz34901","Albuquerque, NM",41076
"cz25104","Heber Springs, AR",41049
"cz7300","Palm Bay, FL",41038
"cz2000","Virginia Beach, NC & VA",40885
"cz33500","Texarkana, AR & TX",40833
"cz38902","Newport, OR",40818
"cz9301","Winder, GA",40762
"cz30000","Russellville, AR",40749
"cz34115","Fairbanks, AK",40744
"cz36901","Crescent City, CA & OR",40732
"cz1201","Franklin, GA & NC",40729
"cz30100","Fort Smith, AR & OK",40637
"cz5402","Glasgow, KY & TN",40569
"cz31502","Pearsall, TX",40522
"cz601","North Wilkesboro, NC",40501
"cz3600","Alexandria, LA",40478
"cz37901","Las Vegas, AZ & NV",40473
"cz4200","Little Rock, AR",40436
"cz28703","Granby, CO",40413
"cz4103","El Dorado, AR",40398
"cz4903","Lexington, TN",40375
"cz6401","Chattanooga, GA & TN",40352
"cz1001","Boone, NC & TN",40343
"cz6700","Tampa, FL",40338
"cz31503","Laredo, TX",40333
"cz34114","Unalaska, AK",40286
"cz19903","Chincoteague, VA",40278
"cz32306","Eagle Pass, TX",40160
"cz30602","Alamogordo, NM",40124
"cz6100","Gadsden, AL",40111
"cz25103","Harrison, AR",40107
"cz25900","Jonesboro, AR",40106
"cz12502","Washington Court House, OH",40068
"cz4901","Jackson, TN",39957
"cz10302","Dothan, AL",39954
"cz5800","Dickson, TN",39925
"cz31600","Brownsville, TX",39896
"cz10600","Jasper, AL",39880
"cz402","Martinsville, VA",39808
"cz25105","Batesville, AR",39790
"cz11202","Welch, WV",39786
"cz4002","Shreveport, LA",39774
"cz5900","Clarksville, KY & TN",39758
"cz8202","Charleston, SC",39709
"cz7900","Gainesville, FL",39675
"cz6302","Cookeville, TN",39664
"cz700","Spartanburg, NC & SC",39557
"cz29800","Aurora, MO",39551
"cz15800","Athens, OH & WV",39549
"cz2100","Washington, NC",39546
"cz10900","Pensacola, FL",39540
"cz11102","Troy, AL",39537
"cz30403","Okmulgee, OK",39527
"cz2700","Gulfport, MS",39522
"cz2900","Hattiesburg, MS",39487
"cz9800","Auburn, AL",39455
"cz37603","Portola, CA",39451
"cz2200","South Boston, VA",39434
"cz15700","Scioto, OH",39310
"cz1900","Jacksonville, NC",39291
"cz100","Johnson City, TN & VA",39274
"cz8100","Columbia, SC",39264
"cz1002","Morganton, NC",39247
"cz25102","West Plains, AR & MO",39197
"cz11001","Mobile, AL",39193
"cz12702","Maysville, KY",39176
"cz12903","Danville, KY",39124
"cz10801","Tuscaloosa, AL",39043
"cz7600","Jacksonville, FL & GA",39013
"cz4101","Crossett, AR",38972
"cz11203","Big Stone Gap, VA",38958
"cz8800","Savannah, GA & SC",38955
"cz34001","Hot Springs, AR",38953
"cz5100","Corinth, MS & TN",38948
"cz6800","Lakeland, FL",38919
"cz602","Galax, NC & VA",38834
"cz5000","Tupelo, MS",38814
"cz6600","Rome, AL & GA",38791
"cz1500","Wilmington, NC",38768
