"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz27101","Willmar, MN",49389
"cz10700","Birmingham, AL",49331
"cz3003","Jackson, MS",49233
"cz20003","Presque Isle, ME",49176
"cz8702","Statesboro, GA",49166
"cz32000","Houston, TX",49152
"cz8401","Aiken, GA & SC",49144
"cz19300","Poughkeepsie, NY",49117
"cz13800","Wayne, IN",49066
"cz36100","Salt Lake City, UT",49033
"cz14500","Lafayette, IL & IN",49027
"cz27504","Carroll, IA",49011
"cz35901","St. George, UT",48954
"cz34701","Honolulu, HI",48946
"cz36200","Logan, ID & UT",48874
"cz26902","Little Falls, MN",48864
"cz34403","Helena, MT",48856
"cz28201","Red Oak, IA",48854
"cz19200","Harrisburg, PA",48777
"cz14600","Bloomington, IN",48772
"cz38801","Portland, OR & WA",48737
"cz2900","Hattiesburg, MS",48730
"cz24000","Kenosha, WI",48670
"cz22800","Eau Claire, MN & WI",48532
"cz29601","Columbia, MO",48530
"cz36404","Rock Springs, UT & WY",48449
"cz18201","Olean, NY & PA",48389
"cz29502","Kansas City, KS & MO",48382
"cz24400","Rockford, IL",48361
"cz5300","West Memphis, AR",48279
"cz401","Winston-Salem, NC",48260
"cz13101","Louisville, IN & KY",48246
"cz25300","Union City, KY & TN",48233
"cz20401","Providence, MA & RI",48192
"cz11001","Mobile, AL",48156
"cz26002","Duluth, MN & WI",48154
"cz20301","Berlin, NH & VT",48103
"cz28800","Fort Collins, CO",47993
"cz16801","Beckley, WV",47985
"cz9301","Winder, GA",47968
"cz7900","Gainesville, FL",47965
"cz14100","Fort Wayne, IN",47961
"cz13501","Toledo, MI & OH",47939
"cz15500","Steubenville, OH & WV",47937
"cz2600","Roanoke Rapids, NC & VA",47932
"cz29501","Leavenworth, KS",47816
"cz3300","New Orleans, LA",47807
"cz15400","Zanesville, OH",47803
"cz34703","Kahului, HI",47785
"cz34111","Ketchikan, AK",47780
"cz301","Middlesborough, KY & TN",47767
"cz4800","Greenville, MS",47741
"cz30502","Enid, OK",47661
"cz30801","Hobbs, NM & TX",47651
"cz25101","Mountain Home, AR & MO",47650
"cz33802","Chickasha, OK",47601
"cz16400","Youngstown, OH & PA",47523
"cz26704","Grand Forks, MN & ND",47514
"cz33803","Oklahoma City, OK",47504
"cz2500","Newport News, VA",47483
"cz900","Charlotte, NC & SC",47434
"cz23801","Davenport, IA & IL",47397
"cz22200","Cedar Rapids, IA",47375
"cz11101","Montgomery, AL",47365
"cz4002","Shreveport, LA",47281
"cz34115","Fairbanks, AK",47272
"cz34402","Bozeman, MT",47197
